timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-09-29,13.1100,13.1600,13.1000,13.1000,13.1000,5409,0.0000,1.0000
2020-09-28,13.2000,13.2000,13.0700,13.0800,13.0800,7932,0.0000,1.0000
2020-09-25,13.0800,13.0800,13.0800,13.0800,13.0800,1064,0.0000,1.0000
2020-09-24,13.1700,13.1700,13.0500,13.1000,13.1000,5258,0.0000,1.0000
2020-09-23,13.1400,13.1506,13.1100,13.1100,13.1100,4526,0.0000,1.0000
2020-09-22,13.1500,13.1700,13.1300,13.1400,13.1400,8651,0.0000,1.0000
2020-09-21,13.1900,13.1900,13.1600,13.1600,13.1600,4713,0.0000,1.0000
2020-09-18,13.3000,13.3000,13.2000,13.2000,13.2000,9185,0.0000,1.0000
2020-09-17,13.2700,13.2800,13.2400,13.2400,13.2400,2573,0.0000,1.0000
2020-09-16,13.2600,13.3151,13.2200,13.2700,13.2700,7384,0.0000,1.0000
2020-09-15,13.3500,13.3500,13.2400,13.2400,13.2400,9602,0.0000,1.0000
2020-09-14,13.2500,13.3837,13.2500,13.2956,13.2956,2872,0.0485,1.0000
2020-09-11,13.3900,13.4300,13.3230,13.3300,13.2816,9182,0.0000,1.0000
2020-09-10,13.3100,13.4500,13.3100,13.3428,13.2943,11398,0.0000,1.0000
2020-09-09,13.3401,13.3401,13.3000,13.3399,13.2914,6239,0.0000,1.0000
2020-09-08,13.2600,13.3129,13.2400,13.2686,13.2204,8324,0.0000,1.0000
2020-09-04,13.3900,13.3900,13.2300,13.2600,13.2118,16277,0.0000,1.0000
2020-09-03,13.4100,13.4600,13.3779,13.3900,13.3413,3975,0.0000,1.0000
2020-09-02,13.3800,13.4600,13.3800,13.4600,13.4111,3573,0.0000,1.0000
2020-09-01,13.3400,13.4800,13.3400,13.3800,13.3314,2527,0.0000,1.0000
2020-08-31,13.3500,13.3800,13.3300,13.3300,13.2816,22830,0.0000,1.0000
2020-08-28,13.3700,13.4200,13.3200,13.4100,13.3613,10461,0.0000,1.0000
2020-08-27,13.4400,13.4437,13.2890,13.2890,13.2407,16685,0.0000,1.0000
