timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2013-11-06,8.5300,8.5300,8.5300,8.5300,8.5300,0,0.0000,1.0000
2013-11-05,8.5200,8.5500,8.5100,8.5300,8.5300,291496,0.0000,1.0000
2013-11-04,8.5100,8.5300,8.5100,8.5300,8.5300,1285428,0.0000,1.0000
2013-11-01,8.5000,8.5200,8.5000,8.5100,8.5100,316657,0.0000,1.0000
2013-10-31,8.5100,8.5300,8.5000,8.5000,8.5000,821253,0.0310,1.0000
2013-10-30,8.5300,8.5300,8.5100,8.5100,8.4791,298039,0.0310,1.0000
2013-10-29,8.5200,8.5400,8.5100,8.5200,8.4582,592552,0.0000,1.0000
2013-10-28,8.5200,8.5300,8.5100,8.5100,8.4483,414464,0.0000,1.0000
2013-10-25,8.5300,8.5300,8.5100,8.5200,8.4582,591460,0.0000,1.0000
2013-10-24,8.5000,8.5200,8.5000,8.5100,8.4483,395183,0.0000,1.0000
2013-10-23,8.4700,8.4900,8.4700,8.4900,8.4284,531411,0.0000,1.0000
2013-10-22,8.4700,8.4800,8.4600,8.4800,8.4185,599897,0.0000,1.0000
2013-10-21,8.4700,8.4800,8.4600,8.4600,8.3987,890392,0.0000,1.0000
2013-10-18,8.4800,8.4800,8.4700,8.4800,8.4185,368902,0.0000,1.0000
2013-10-17,8.4700,8.4800,8.4700,8.4800,8.4185,344904,0.0000,1.0000
2013-10-16,8.4800,8.4800,8.4700,8.4800,8.4185,281149,0.0000,1.0000
2013-10-15,8.4600,8.4800,8.4600,8.4700,8.4086,202754,0.0000,1.0000
2013-10-14,8.4600,8.4800,8.4600,8.4600,8.3987,1444160,0.0000,1.0000
2013-10-11,8.4600,8.4800,8.4600,8.4700,8.4086,917659,0.0000,1.0000
2013-10-10,8.4800,8.4850,8.4700,8.4800,8.4185,262641,0.0000,1.0000
2013-10-09,8.4800,8.4900,8.4600,8.4900,8.4284,625096,0.0000,1.0000
2013-10-08,8.4800,8.4800,8.4600,8.4600,8.3987,479141,0.0000,1.0000
2013-10-07,8.4600,8.4800,8.4600,8.4700,8.4086,287244,0.0000,1.0000
2013-10-04,8.4700,8.4900,8.4600,8.4900,8.4284,378754,0.0000,1.0000
2013-10-03,8.4800,8.4900,8.4700,8.4800,8.4185,1759857,0.0000,1.0000
2013-10-02,8.4700,8.4900,8.4600,8.4900,8.4284,1156090,0.0000,1.0000
2013-10-01,8.4600,8.4900,8.4500,8.4900,8.4284,588410,0.0000,1.0000
2013-09-30,8.4700,8.4900,8.4600,8.4900,8.4284,144318,0.0000,1.0000
2013-09-27,8.4700,8.4820,8.4700,8.4800,8.4185,57091,0.0000,1.0000
2013-09-26,8.4800,8.4900,8.4550,8.4700,8.4086,543236,0.0000,1.0000
2013-09-25,8.5000,8.5000,8.4800,8.4800,8.4185,266504,0.0000,1.0000
2013-09-24,8.4900,8.5000,8.4700,8.4900,8.4284,270299,0.0000,1.0000
2013-09-23,8.4600,8.4900,8.4600,8.4900,8.4284,572998,0.0000,1.0000
2013-09-20,8.4800,8.4900,8.4500,8.4500,8.3887,1250612,0.0000,1.0000
2013-09-19,8.5000,8.5000,8.4700,8.4800,8.4185,578099,0.0775,1.0000
2013-09-18,8.5400,8.5600,8.5400,8.5500,8.4111,999512,0.0000,1.0000
2013-09-17,8.5300,8.5600,8.5200,8.5600,8.4210,524893,0.0000,1.0000
2013-09-16,8.5400,8.5500,8.5200,8.5300,8.3915,366847,0.0000,1.0000
2013-09-13,8.5200,8.5400,8.5100,8.5300,8.3915,243057,0.0000,1.0000
2013-09-12,8.5000,8.5200,8.5000,8.5100,8.3718,367238,0.0000,1.0000
2013-09-11,8.5000,8.5200,8.4900,8.5000,8.3620,1730377,0.0000,1.0000
2013-09-10,8.4900,8.5000,8.4900,8.4900,8.3521,1262992,0.0000,1.0000
2013-09-09,8.4900,8.5000,8.4900,8.5000,8.3620,703568,0.0000,1.0000
2013-09-06,8.4900,8.5100,8.4800,8.4800,8.3423,278949,0.0000,1.0000
2013-09-05,8.5100,8.5400,8.4800,8.4800,8.3423,596650,0.0000,1.0000
2013-09-04,8.5200,8.5310,8.5100,8.5200,8.3816,339985,0.0000,1.0000
2013-09-03,8.5200,8.5910,8.5000,8.5300,8.3915,1147464,0.0000,1.0000
2013-08-30,8.4900,8.5200,8.4900,8.5100,8.3718,306824,0.0000,1.0000
2013-08-29,8.4900,8.5100,8.4900,8.5100,8.3718,264456,0.0000,1.0000
2013-08-28,8.5000,8.5100,8.5000,8.5000,8.3620,179530,0.0000,1.0000
