timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-09-29,125.3200,126.3600,118.0100,121.3800,121.3800,2659553,0.0000,1.0000
2020-09-28,125.8600,126.3400,123.9800,125.3700,125.3700,838488,0.0000,1.0000
2020-09-25,121.1500,124.1100,120.6900,124.0300,124.0300,525102,0.0000,1.0000
2020-09-24,119.5700,122.2700,119.2500,121.3000,121.3000,586088,0.0000,1.0000
2020-09-23,123.7200,123.7200,119.6000,119.7300,119.7300,599391,0.0000,1.0000
2020-09-22,122.1100,123.3500,120.2600,123.3200,123.3200,822221,0.0000,1.0000
2020-09-21,120.3100,122.8300,119.6900,122.0500,122.0500,909925,0.0000,1.0000
2020-09-18,125.0000,125.4900,121.7900,122.4500,122.4500,1240479,0.0000,1.0000
2020-09-17,125.4400,125.4400,123.5900,124.4400,124.4400,869596,0.0000,1.0000
2020-09-16,128.1000,129.8600,127.1400,127.3000,127.3000,542021,0.0000,1.0000
2020-09-15,128.0100,128.8900,127.2900,128.1600,128.1600,374122,0.0000,1.0000
2020-09-14,126.2300,128.1500,126.2300,126.9900,126.9900,796040,0.0000,1.0000
2020-09-11,126.0800,126.8000,124.7400,125.7000,125.7000,551901,0.0000,1.0000
2020-09-10,129.0600,129.0600,124.7200,124.9100,124.9100,808299,0.4900,1.0000
2020-09-09,128.2100,129.9200,127.0100,129.1900,128.6852,654787,0.0000,1.0000
2020-09-08,128.8100,129.4800,126.1800,126.4400,125.9459,980679,0.0000,1.0000
2020-09-04,134.1000,134.1400,128.6000,130.2900,129.7809,742773,0.0000,1.0000
2020-09-03,137.8100,137.8100,131.8900,133.2600,132.7393,842398,0.0000,1.0000
2020-09-02,135.3200,137.9400,135.0000,137.2800,136.7436,761069,0.0000,1.0000
2020-09-01,134.6400,134.8400,133.2900,134.8200,134.2932,508680,0.0000,1.0000
2020-08-31,132.5300,135.1100,132.1310,134.4200,133.8948,1381994,0.0000,1.0000
2020-08-28,132.6200,132.6200,131.4300,131.8400,131.3248,428314,0.0000,1.0000
2020-08-27,133.0400,133.2800,131.8200,131.8500,131.3348,508565,0.0000,1.0000
2020-08-26,130.4100,133.5800,130.2100,132.5400,132.0221,645840,0.0000,1.0000
2020-08-25,131.6450,132.0400,129.7500,130.1000,129.5916,496757,0.0000,1.0000
2020-08-24,130.2900,131.6900,129.6901,131.5800,131.0659,692390,0.0000,1.0000
2020-08-21,130.3800,130.6600,129.2400,129.9200,129.4123,479886,0.0000,1.0000
2020-08-20,129.4600,131.4700,129.4600,130.4600,129.9502,517943,0.0000,1.0000
2020-08-19,130.8200,131.0200,129.3100,129.8700,129.3625,585758,0.0000,1.0000
2020-08-18,130.2900,130.8100,129.3300,130.0500,129.5418,578200,0.0000,1.0000
2020-08-17,129.3800,130.8000,129.0000,130.3100,129.8008,839058,0.0000,1.0000
2020-08-14,130.0700,130.6300,128.7100,129.2400,128.7350,678376,0.0000,1.0000
2020-08-13,130.0100,130.7700,129.0500,130.2800,129.7709,927041,0.0000,1.0000
2020-08-12,131.1500,133.0500,130.2400,130.4200,129.9104,1055949,0.0000,1.0000
2020-08-11,132.0000,132.2900,130.1200,130.4700,129.9602,587728,0.0000,1.0000
2020-08-10,133.5100,133.5100,130.5700,131.5300,131.0160,741022,0.0000,1.0000
2020-08-07,129.8400,132.8800,129.6100,132.8700,132.3508,727589,0.0000,1.0000
2020-08-06,129.7800,131.2600,129.5000,130.7000,130.1893,588859,0.0000,1.0000
2020-08-05,130.3000,130.4700,129.0400,130.3600,129.8506,580606,0.0000,1.0000
2020-08-04,130.5300,130.7700,128.7950,129.7000,129.1932,467659,0.0000,1.0000
2020-08-03,131.8400,132.3940,129.9500,130.3500,129.8407,508922,0.0000,1.0000
2020-07-31,130.7000,131.3500,129.0100,131.3100,130.7969,611859,0.0000,1.0000
2020-07-30,129.6100,130.3750,128.6700,129.9000,129.3924,552379,0.0000,1.0000
2020-07-29,128.7700,131.5400,128.5200,131.0100,130.4981,791944,0.0000,1.0000
2020-07-28,129.5600,129.9600,127.4000,128.1500,127.6493,704568,0.0000,1.0000
2020-07-27,130.6900,131.2000,130.1200,130.5300,130.0200,952587,0.0000,1.0000
2020-07-24,131.2900,131.3850,129.0500,130.5600,130.0498,898744,0.0000,1.0000
2020-07-23,134.2000,135.5150,131.0000,131.4100,130.8965,938191,0.0000,1.0000
2020-07-22,133.0100,135.3150,131.5462,134.1000,133.5760,1231623,0.0000,1.0000
2020-07-21,130.6900,131.8500,129.4900,131.0100,130.4981,933300,0.0000,1.0000
2020-07-20,128.3300,131.6700,128.3200,131.3000,130.7869,790100,0.0000,1.0000
2020-07-17,127.7000,129.1500,127.2200,128.4400,127.9381,748600,0.0000,1.0000
2020-07-16,126.5400,127.2700,126.0100,127.0300,126.5336,308100,0.0000,1.0000
2020-07-15,126.0000,127.3600,125.0800,126.8400,126.3444,534400,0.0000,1.0000
2020-07-14,122.9900,124.8000,122.9600,124.8000,124.3123,433600,0.0000,1.0000
2020-07-13,124.0200,126.2200,122.9400,123.0000,122.5194,619800,0.0000,1.0000
2020-07-10,121.3000,123.0000,120.1700,122.8800,122.3998,468800,0.0000,1.0000
2020-07-09,122.2700,122.5000,119.2100,120.8000,120.3280,563900,0.0000,1.0000
2020-07-08,120.9500,122.2800,120.4600,121.7000,121.2245,683000,0.0000,1.0000
2020-07-07,120.2600,121.7900,119.7600,120.4700,119.9993,463800,0.0000,1.0000
2020-07-06,121.4900,122.5000,120.5400,121.0800,120.6069,478800,0.0000,1.0000
2020-07-02,122.5800,123.1200,120.0000,120.0600,119.5909,756600,0.0000,1.0000
2020-07-01,119.6000,121.6100,118.8400,120.7600,120.2881,603000,0.0000,1.0000
2020-06-30,116.8300,119.9800,116.4500,119.4700,119.0032,629300,0.0000,1.0000
2020-06-29,117.4000,117.6800,116.1800,117.5500,117.0907,749124,0.0000,1.0000
2020-06-26,118.1200,118.3400,115.4100,115.8200,115.3674,1053700,0.0000,1.0000
2020-06-25,115.0000,118.9900,114.6600,118.6900,118.2262,554900,0.0000,1.0000
2020-06-24,118.2300,118.3200,115.0700,115.2800,114.8295,626700,0.0000,1.0000
2020-06-23,120.2200,120.8800,118.2900,118.6000,118.1366,706000,0.0000,1.0000
2020-06-22,119.1200,120.4500,118.1300,119.7100,119.2422,506400,0.0000,1.0000
2020-06-19,120.2800,122.1500,118.4100,118.8300,118.3657,989600,0.0000,1.0000
2020-06-18,117.7400,119.3900,116.7100,119.2900,118.8239,768000,0.0000,1.0000
2020-06-17,119.0700,119.6700,117.9100,118.1300,117.6684,593200,0.0000,1.0000
2020-06-16,118.6900,120.0000,116.0900,118.5300,118.0668,755900,0.0000,1.0000
2020-06-15,112.5400,118.3600,112.2300,117.3700,116.9114,781200,0.0000,1.0000
2020-06-12,115.4600,115.8900,113.1300,115.1500,114.7001,705500,0.0000,1.0000
2020-06-11,118.4900,118.8700,112.7200,113.2500,112.8075,866300,0.4900,1.0000
2020-06-10,119.5700,120.8400,119.3800,120.0100,119.0261,513100,0.0000,1.0000
2020-06-09,120.3600,121.1600,119.1500,120.0900,119.1054,825900,0.0000,1.0000
2020-06-08,119.3700,121.6100,119.2700,121.3000,120.3055,959200,0.0000,1.0000
2020-06-05,119.5400,120.2500,115.3300,119.9000,118.9170,1076100,0.0000,1.0000
2020-06-04,119.1000,119.3700,116.4400,117.9300,116.9631,601200,0.0000,1.0000
2020-06-03,119.9700,120.7300,118.3400,119.3400,118.3616,702800,0.0000,1.0000
2020-06-02,119.2500,119.8000,118.2800,119.2400,118.2624,519200,0.0000,1.0000
2020-06-01,119.3000,119.8700,117.2500,118.8800,117.9053,929500,0.0000,1.0000
2020-05-29,116.3200,118.8300,115.7000,118.4600,117.4888,831700,0.0000,1.0000
2020-05-28,116.3300,117.6500,115.5700,116.3700,115.4159,714300,0.0000,1.0000
2020-05-27,117.7800,117.9900,114.2200,115.1900,114.2456,845900,0.0000,1.0000
2020-05-26,118.4200,119.2700,116.0300,116.2800,115.3267,611900,0.0000,1.0000
2020-05-22,114.0800,115.7900,113.8300,115.3400,114.3944,440600,0.0000,1.0000
2020-05-21,113.8600,114.7000,113.0100,113.9900,113.0554,722000,0.0000,1.0000
2020-05-20,112.9900,115.6100,112.9900,114.7100,113.7695,531600,0.0000,1.0000
2020-05-19,114.2000,115.9900,112.4200,112.6300,111.7066,641300,0.0000,1.0000
2020-05-18,114.9200,115.9100,113.8600,114.9400,113.9976,865300,0.0000,1.0000
2020-05-15,109.7900,112.2500,108.6700,112.0800,111.1611,2078500,0.0000,1.0000
2020-05-14,107.3500,109.6700,107.2500,109.4800,108.5824,793200,0.0000,1.0000
2020-05-13,108.5200,110.3000,107.4500,108.8900,107.9972,927700,0.0000,1.0000
2020-05-12,110.0000,110.4900,108.2000,108.5000,107.6104,1070400,0.0000,1.0000
2020-05-11,105.9800,109.9500,105.8500,109.2400,108.3444,683300,0.0000,1.0000
2020-05-08,109.2100,109.2900,107.0800,107.5900,106.7079,895100,0.0000,1.0000
2020-05-07,106.7500,109.2200,106.4500,107.3300,106.4500,633600,0.0000,1.0000
2020-05-06,109.7700,109.7700,105.6000,105.6300,104.7640,710200,0.0000,1.0000
2020-05-05,107.5400,109.4800,105.9400,108.8300,107.9377,966500,0.0000,1.0000
2020-05-04,105.8100,106.6300,104.3800,106.1300,105.2599,722700,0.0000,1.0000
2020-05-01,107.0000,107.5400,105.8300,106.6200,105.7459,730700,0.0000,1.0000
2020-04-30,108.7500,111.1400,108.3200,109.6700,108.7708,693800,0.0000,1.0000
2020-04-29,112.7500,113.2300,111.2200,111.6000,110.6850,827000,0.0000,1.0000
2020-04-28,113.5300,114.4200,110.6500,111.2100,110.2982,1006200,0.0000,1.0000
2020-04-27,107.1100,111.8900,107.0000,111.6300,110.7148,922600,0.0000,1.0000
2020-04-24,104.7700,105.7500,102.9700,105.6300,104.7640,843600,0.0000,1.0000
2020-04-23,106.9700,106.9700,102.8200,103.8500,102.9986,905100,0.0000,1.0000
2020-04-22,108.5000,108.5000,102.8000,104.6300,103.7722,1362700,0.0000,1.0000
2020-04-21,107.7200,108.8600,104.7600,105.2700,104.4069,968400,0.0000,1.0000
2020-04-20,109.7700,110.8800,108.7600,109.7800,108.8799,922800,0.0000,1.0000
2020-04-17,111.1000,111.9100,109.3800,111.2400,110.3280,773800,0.0000,1.0000
2020-04-16,106.8900,108.9300,106.5000,108.3100,107.4220,722700,0.0000,1.0000
2020-04-15,106.1100,108.1100,104.6100,106.0000,105.1309,829900,0.0000,1.0000
2020-04-14,105.6500,107.8800,104.2700,107.5600,106.6781,1384400,0.0000,1.0000
2020-04-13,105.2900,106.9900,102.6700,103.2900,102.4432,805600,0.0000,1.0000
2020-04-09,104.7800,108.5900,104.7800,107.9200,107.0352,740600,0.0000,1.0000
2020-04-08,101.5300,104.8100,101.2300,104.1300,103.2763,744900,0.0000,1.0000
2020-04-07,104.7200,107.1100,100.2200,100.9400,100.1124,1125500,0.0000,1.0000
2020-04-06,99.8900,102.2700,98.0700,101.5900,100.7571,916800,0.0000,1.0000
2020-04-03,94.5300,95.9200,93.5700,95.2200,94.4393,851900,0.0000,1.0000
2020-04-02,92.0500,94.4500,90.3300,93.9600,93.1896,1237100,0.0000,1.0000
2020-04-01,90.1200,93.2900,90.0000,92.2700,91.5135,1058800,0.0000,1.0000
2020-03-31,99.5200,100.4000,94.5800,94.9500,94.1715,1515700,0.0000,1.0000
2020-03-30,94.0300,99.8300,92.8100,99.4400,98.6247,1437400,0.0000,1.0000
2020-03-27,90.0400,95.4400,89.2800,92.7800,92.0193,1127300,0.0000,1.0000
2020-03-26,88.0500,96.0900,88.0500,93.8200,93.0508,1699300,0.0000,1.0000
2020-03-25,82.9900,91.0200,82.2800,86.9600,86.2470,1969100,0.0000,1.0000
2020-03-24,76.9100,83.1900,76.3900,82.9900,82.3096,1975400,0.0000,1.0000
2020-03-23,80.5700,80.5700,71.6600,72.8600,72.2626,1793900,0.0000,1.0000
2020-03-20,89.8200,89.8200,79.6700,80.5000,79.8400,2161500,0.0000,1.0000
2020-03-19,91.7700,92.6000,85.5200,88.0000,87.2785,1753500,0.0000,1.0000
2020-03-18,90.4400,95.4900,89.1500,91.5700,90.8192,2265800,0.0000,1.0000
2020-03-17,87.4700,95.8800,87.0000,95.0300,94.2509,2225400,0.0000,1.0000
2020-03-16,87.0000,92.7800,83.3500,85.3100,84.6106,1417200,0.0000,1.0000
2020-03-13,93.1500,96.3700,85.7200,96.0500,95.2625,1680900,0.0000,1.0000
2020-03-12,91.4300,93.3200,88.3000,88.6300,87.9033,1766600,0.4700,1.0000
2020-03-11,101.8600,101.9600,97.7900,99.3200,97.9861,1827400,0.0000,1.0000
2020-03-10,108.3200,108.7900,102.2000,104.7000,103.2938,1989000,0.0000,1.0000
2020-03-09,102.7200,108.4200,102.4600,105.7200,104.3001,1434200,0.0000,1.0000
2020-03-06,110.8700,112.2900,107.6700,110.5000,109.0159,1260000,0.0000,1.0000
2020-03-05,112.5700,114.5900,111.5900,114.1000,112.5676,1645100,0.0000,1.0000
2020-03-04,112.1700,116.5500,110.5000,116.3700,114.8071,1206500,0.0000,1.0000
2020-03-03,110.7400,114.0700,109.1300,110.0700,108.5917,1317200,0.0000,1.0000
2020-03-02,103.0000,110.3500,103.0000,110.1200,108.6410,1264100,0.0000,1.0000
2020-02-28,105.2300,105.4500,100.4700,102.5500,101.1727,2281000,0.0000,1.0000
2020-02-27,112.0000,112.5100,107.3200,107.4500,106.0069,1342500,0.0000,1.0000
2020-02-26,112.4700,114.6600,112.4700,113.0200,111.5021,948100,0.0000,1.0000
2020-02-25,114.9100,115.3200,111.8500,112.4100,110.9003,963600,0.0000,1.0000
2020-02-24,112.8400,115.4200,112.3900,114.7400,113.1990,1217800,0.0000,1.0000
2020-02-21,114.2400,115.4500,113.9900,115.1800,113.6331,2527200,0.0000,1.0000
2020-02-20,115.5500,115.8000,113.3200,114.4900,112.9523,692300,0.0000,1.0000
2020-02-19,115.9700,117.3300,115.2000,115.2700,113.7219,726400,0.0000,1.0000
2020-02-18,113.5000,116.1600,113.1300,115.6700,114.1165,1085100,0.0000,1.0000
2020-02-14,114.6400,116.2500,114.6400,116.2000,114.6394,530400,0.0000,1.0000
2020-02-13,114.1700,114.9000,113.9500,114.4000,112.8636,409800,0.0000,1.0000
2020-02-12,114.9000,115.0600,112.9400,114.0600,112.5281,582600,0.0000,1.0000
2020-02-11,115.7200,116.6800,114.6800,114.8000,113.2582,463000,0.0000,1.0000
2020-02-10,114.1200,115.8500,114.0100,115.7300,114.1757,941300,0.0000,1.0000
2020-02-07,115.9700,116.3000,114.2400,114.3300,112.7945,959400,0.0000,1.0000
2020-02-06,117.2100,117.2300,115.5300,115.8500,114.2941,910600,0.0000,1.0000
2020-02-05,119.2400,119.2500,115.9000,116.4700,114.9058,1020182,0.0000,1.0000
2020-02-04,118.9400,120.2300,118.4600,118.6700,117.0762,866700,0.0000,1.0000
2020-02-03,117.2800,118.8900,117.0300,117.7900,116.2080,718800,0.0000,1.0000
2020-01-31,115.8500,116.8000,115.5500,116.4600,114.8959,912300,0.0000,1.0000
2020-01-30,115.2500,116.1200,113.4000,115.9600,114.4026,990352,0.0000,1.0000
2020-01-29,112.1500,115.7700,109.7600,115.3400,113.7909,1275100,0.0000,1.0000
2020-01-28,109.8300,111.5900,109.8000,111.1400,109.6473,1058600,0.0000,1.0000
2020-01-27,109.1300,110.2800,109.0000,109.7800,108.3056,979600,0.0000,1.0000
2020-01-24,109.6600,110.2900,109.2400,110.2100,108.7298,695900,0.0000,1.0000
2020-01-23,109.0500,109.6800,108.4800,109.6300,108.1576,483200,0.0000,1.0000
2020-01-22,109.3800,109.4500,108.2200,109.1400,107.6742,585900,0.0000,1.0000
